#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	37	31	22	27	45	7	1	14	99	5	9	2	6	12	24	22	6	0	4	7	52	16	12	20	10	19	0	21	0	2	16	3	20	0	43	50	14	0	10	6	13	32	31	8	3	45	22	12	13	7	16	38
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnobacterium	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospira	1	1	0	1	0	8	0	18	0	0	0	14	5	5	3	5	2	0	7	0	2	5	0	0	11	0	0	2	0	2	1	5	28	0	0	3	2	0	7	0	0	0	0	0	17	2	0	5	4	3	27	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	20	4	5	8	25	93	5	12	14	10	53	28	99	17	94	21	23	8	374	19	61	61	30	38	18	6	3	22	44	28	15	40	29	79	15	49	58	9	35	43	52	25	17	24	57	17	60	56	37	36	78	50
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Parasporobacterium	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	21	2	0	3	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Pseudobutyrivibrio	608	0	13	103	80	182	64	110	21	180	17	295	70	12	10	126	40	0	197	266	84	14	109	64	286	24	0	217	13	104	117	75	15	0	30	25	112	85	275	194	271	196	219	55	44	37	10	120	209	148	54	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	60	33	21	55	7	28	5	49	50	68	13	44	153	90	35	98	31	6	89	92	5	33	43	19	52	6	0	4	35	20	10	5	21	12	2	34	58	5	79	27	24	39	40	7	87	7	58	37	110	55	53	40
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	22	3	16	8	49	9	1	38	6	10	11	3	6	1	4	2	1	6	2	0	2	0	9	6	4	47	0	1	0	5	2	0	1	1	1	15	18	6	3	42	2	23	2	1	2	10	13	9	1	30	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
